xxxx=x xxxx=x | xxxxxxxx=xx
xxxx=x xxxx=x | xxxxxxxx=xx
xxxx=x xxxx=x | xxxxxxxx=xx
0100=4 xxxx=x | xxxxxxxx=xx
0100=4 0001=1 | 00000100=04
0100=4 0001=1 | 00000100=04
0100=4 0001=1 | 00000100=04
1001=9 0001=1 | 00000100=04
1001=9 0011=3 | 00011011=1b
1001=9 0011=3 | 00011011=1b
1001=9 0011=3 | 00011011=1b
1001=9 0011=3 | 00011011=1b
1001=9 0011=3 | 00011011=1b
1001=9 0011=3 | 00011011=1b
1001=9 0011=3 | 00011011=1b
1001=9 0011=3 | 00011011=1b
1001=9 0011=3 | 00011011=1b
1001=9 0011=3 | 00011011=1b
1001=9 0011=3 | 00011011=1b
